raid_id,ranking,amount,tx_id
1,1,1000000,63bef88696e046f90a9da3c863d2e058bfdced5d5159cd0d1adbd80274b0ca31
1,2,750000,79dbe3f00f24c36e57b5d948a9f3adf20e0ed6f5f30c0d0b561e43157deb2768
1,3,500000,08a6993cf277d31e7dd72b7c0fdbe782dc081dc042bebb38b7fbb4d19ec33379
1,4,250000,8d7f6e7dfd6f82556c96d45fa766c40b5a9d0921e21894b04933f026c09cdf2e
1,5,250000,334c82945923b16e505d07419021cefc4847a423fe4223edcce316751bb2de40
1,6,250000,7309f17aac3037e09222e74013e312086e8b4cf8871157a0e487fbf465338f03
1,7,250000,b372a50097086ed3b7cec8c5ccfe407b02c4e8e4a61e6753053c8feb6f50b99d
1,8,250000,a06a5fea48fb4dfab9af9d4374f7131bedd461b9688595d3bff80bd343557e8c
1,9,250000,79d6d931ffaa6294d1a1d232ec3363737999ce34caa04e2b920bd956c4eb93ad
1,10,250000,054ff2fcdb5cdb1305ee26c28f06f52f64392c189e56ae96682040a4d78d79c8
1,11,150000,de8b8151924620cbe40c92664426e30452b9bdc6a65d33ec113d1c1b7c6b88f4
1,12,150000,0a2b7dbd9bc737502b6aa14abfcfc9aeb1485e10eed77518f343e4d2cde56411
1,13,150000,a985c8eafe5df601895dc0234c5aedeb40d7308daee9304710d6556f9d515151
1,14,150000,f31289ffa44865fb42101111d3403d2c2300e532ed7a0cd66c4d8378b9966847
1,15,150000,01cbe84d32721f5d4a106087a33cd49e2659bbc5fb8c2bdeabe434e36d8cf0a2
1,16,150000,933861485861f7febe932fb64865c408198ac37808f668c7caf8561295fb8381
1,17,150000,f1a220c49bd693eaab856dcfac5a6143f4e61b79a710ad61a29fdb6a1467cf4e
1,18,150000,c39c111084244d70653b415908caee3958fc795376354195cebc8538e91737da
1,19,150000,085b53960a3ae7f489e8f0fee6afabed44528df6b8323751adc68c4f8d6dd4fe
1,20,150000,5dc978580c3442534c9a2cb4f09bc4943057a255e4fc33f39cec341bbaa80fa3
1,21,150000,64ae73deecc34c33c484b7663eb4da6db974a89b57805ae92ed91498cce2f349
1,22,150000,00bb3207b3a73763f2f87fe7435b6a5bc4734bf457970cfdc49b25b1bf1f1ceb
1,23,150000,335d34c68c8e62b8de1f6d48f2eafc26e05eebd8d07dfe342a03cd279591620c
1,24,150000,51762da7dc2d535e9a91e23a91711e45692310836fcff95c50729c4a47b5b1f3
1,25,150000,8871d83313f872f5f917a069028f0a02021e20d00cd50c6117bd473b36b22e4f
1,26,150000,983e4c8fb6048a4be4800b6a89c64450a308a8be7a7cf3665972afabd40c3652
1,27,150000,5b0a9cb35516edaf7b5b46e8cb37622efc48855ca16cf078dfb240363cf02708
1,28,150000,653bc4105e432cf86232cce7eabeeb519d6242e83e66131015d1c65c6623e596
1,29,150000,1d17d1df0ed712ff88552ee7debe06a035cb159ffcf5c4ec95fd0bfc5165f2a0
1,30,150000,a5308761aa61dcd9de2a85e1a0f07516eae50680aa6f4f20f4ba082ac235fc3a
1,31,150000,bb19c266b09785067672ede2ac59ce0746f7d41520ed4dd3fc635c83961e4f9f
1,32,150000,a80b1dd6bca96b23e9f9bdae26f830fcad8be068471bb1642146c20721065b03
1,33,150000,db3564c17e7b155e147c65cddbcacf57c8633bebcb22ba2dc3052b06ad7d4b51
1,34,150000,633a14c0c9e671e21ad44a6736f6c1449140c0a7f9b723a15c194d265852affe
1,35,150000,dd2cc8448977941f5e6d871dcceefe5978b33dfb43d6b9a79cc15a9a1bac4227
